student_id,program_name,uni_name
73, Dental Hygiene,University of Michigan-Ann Arbor
73, Public Health ,Yale University
73,Nutrition,Cornell University
73,Public Health,University of Pennsylvania
74,"Media, Communication and Journalism Sciences and Disorders (Thesis)",McGill University
74,"Media, Communication and Journalism Studies",McGill University
74,World Cinemas,McGill University
75,Biomedical Engineering,Universität Heidelberg
75,Industrial Engineering,Universität Hamburg
75,Mechanical Engineering,Technical University of Munich
75,Mechatronics and Biomechanical Engineering,Technical University of Munich
76,Advanced Studies in Chemistry,Universidad de Sevilla
76,Computational Fluid Dynamics,Universitat Politecnica de Valencia
76,Mathematical Research,Universitat Politecnica de Valencia
76,Mathematics,Universitat de Barcelona
76,Nuclear Physics,University of Salamanca
77,Dentistry,Technische Universität Dresden
77,Dentistry,Universität Heidelberg
77,Medicine,Universität Heidelberg
77,Nutrition and Biomedicine,Technical University of Munich
78,English Studies,American University of Science and Technology
78,Theologica,Saint Joseph University of Beirut
78,Translation,American University of Science and Technology
79,Biologie ,Technical University of Darmstadt
79,Biology,Technical University of Munich
79,Bioresources Use,Universität Hamburg
79,Molecular Life Sciences,Universität Hamburg
80,Film Production ,University of British Columbia
80,"Media, Communication and Journalism Sciences & Disorders (Non-Thesis)",McGill University
80,"Media, Communication and Journalism Sciences and Disorders (Thesis)",McGill University
80,"Media, Communication and Journalism Studies (Thesis)",McGill University
81,Computer Engineering,Holy Spirit University of Kaslik
81,Industrial Technology,Saint Joseph University of Beirut
81,Mechanical Engineering,Beirut Arab University
82,Criminology,University of Pennsylvania
82,Health Policy and Law,University of Pennsylvania
82,International Law,Universität Heidelberg
83,Bioethics Law(Thesis),McGill University
83,Environment Law(Thesis),McGill University
83,Law (Thesis),McGill University
83,Social Justice Education,University of Toronto
83,Taxation,University of British Columbia
84, Occupational Therapy (Non-Thesis),McGill University
84, Public Health Occupational and Environmental Medicine Track (Non Yale Fellows),Yale University
84,Biomedical Engineering,Cornell University
84,Public Health (Non-Thesis),McGill University
85,Biomedicine,Universitat de Barcelona
85,Food Safety,Universitat Autònoma de Barcelona
85,Human Nutrition and Dietetics,Universitat de Barcelona
86,Applied Computer Science ,University of Göttingen
86,Computer Science,Technische Universität Dresden
86,Computer Science,Universität Hamburg
86,Information Systems ,Friedrich-Alexander-Universität Erlangen-Nürnberg
86,"Logic, Information, and Computation",University of Pennsylvania
87,Bioinformatics,Freie Universitaet Berlin
87,Computer Science,Technische Universität Dresden
87,Computer Science,Universität Hamburg
87,Computer Science,Universität Stuttgart
88,Business Administration,Universität Stuttgart
88,Finance Accounting and Taxation,Freie Universitaet Berlin
88,IT Management and Consulting,Universität Hamburg
88,Management and Digital Technologies ,Ludwig-Maximilians-Universität München
88,Marketing and E-Business,University of Göttingen
89,Business Administration,Universität Hamburg
89,Corporate Development,University of Cologne
89,Marketing,University of Cologne
89,Marketing and E-Business,University of Göttingen
90,Archaeology,Universitat de Barcelona
90,English and Spanish,Universitat Autònoma de Barcelona
90,German Language and Literature,Universidad de Sevilla
91,American Studies,Universität Heidelberg
91,Computational Linguistics,Universität Heidelberg
91,History ,Friedrich-Alexander-Universität Erlangen-Nürnberg
91,Languages and Cultures of Southeast Asia,Universität Hamburg
92, Management Information Systems ,University of British Columbia
92,Bioinformatics ,University of British Columbia
92,Computer Science,University of British Columbia
92,Health Informatics ,University of Toronto
92,Integrated Studies in Land and Food Systems ,University of British Columbia
93,Bioinformatics ,University of British Columbia
93,Computer Science,University of British Columbia
93,Computer Science (Thesis),McGill University
93,Health Informatics ,University of Toronto
93,Integrated Studies in Land and Food Systems ,University of British Columbia
94,Biomedical Engineering,Universitat de Barcelona
94,Chemical Engineering,Universitat de Barcelona
94,Engineering Physics,Universitat Politecnica de Valencia
94,Geomatic and Surveying Engineering,Universitat Politecnica de Valencia
94,Mathematical Engineering in Data Science,Universitat Pompeu Fabra (Barcelona)
95,Electrical  Engineering,Northwestern University
95,Mechanical  Engineering,Northwestern University
95,Mechanical Engineering,Pheonicia University 
95,Nuclear Engineering,"University of California, Berkeley (UCB)"
96,Business Strategy,Universitat de Valencia
96,Human Resource Management in Organizations,Universitat Autònoma de Barcelona
96,Management Ethics and Innovation in the Non Profit Sector,Universität Heidelberg
96,Terrestrial Ecology and Biodiversity Management,Universitat Autònoma de Barcelona
97,Business Administration,Pheonicia University 
97,Finance,Haigazian University
97,General Business and Management  Administration,Rafik Hariri  University 
98,Chemistry,Freie Universitaet Berlin
98,Mathematics,Technische Universität Berlin (TU Berlin)
98,Physics,Universität Hamburg
99,  Chemical Principles,University of Pennsylvania
99, Biological Mathematics Concentration,University of Pennsylvania
99, Physical Theory and Experimental Technique,University of Pennsylvania
99,Statistics,"University of California, Berkeley (UCB)"
100, Dental Sciences (Non-Thesis),McGill University
100, Medical Anthropology (Thesis),McGill University
100,Critical Care Nursing,Beirut Arab University
100,Operative and Esthetic Dentistry,Beirut Arab University
100,Physiotherapy of Physical Activities and Sport,Saint Joseph University of Beirut
101,   Advanced Nursing (Non-Thesis),McGill University
101, Medical Radiation Physics (Thesis),McGill University
101, Occupational Therapy (MScOT),University of Toronto
101,Medical Sociology (Thesis),McGill University
101,Pathology and Laboratory Medicine ,University of British Columbia
102,Cognitive Systems,University of British Columbia
102,Computer Science,Modern University for Business and Science
102,Information Systems,McGill University
103,Business and Information Technology,Universitat Autònoma de Barcelona
103,Computer Science,Universidade de Santiago de Compostela
103,Computer Science and Engineering  Informatics Engineering,Universidad Carlos III de Madrid (UC3M)
103,Telecommunications Systems,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
104, Agricultural Economics (Thesis),McGill University
104, Anthropology,University of Toronto
104, Anthropology (Thesis),McGill University
104, Geography (Thesis),McGill University
105,Advanced Studies in Social and Cultural Anthropology,Complutense University of Madrid
105,Biological Anthropology,Universitat Autònoma de Barcelona
105,Economics,Complutense University of Madrid
105,Local Government and Innovative Public Policies,Universidade de Santiago de Compostela
106,Bachelorin Hospitality Management,Saint Joseph University of Beirut
106,Business Administration,Modern University for Business and Science
106,Business and Management  information technology,Jinan University
106,Human Resource Management,Antoine University
107,Banking and Finance,Islamic University of Lebanon
107,Business Administration,Pheonicia University 
107,Marketing and Management,Jinan University
107,Worms International Business Management,Lebanese International University
108,Biomedical Engineering,Universität Heidelberg
108,Chemical Engineering,Technical University of Munich
108,Civil Engineering,Technische Universität Berlin (TU Berlin)
108,Ecological Engineering,Technical University of Munich
108,Mechanical Engineering,Technische Universität Berlin (TU Berlin)
109,Bioengineering,"KIT, Karlsruhe Institute of Technology"
109,Ecological Engineering,Technical University of Munich
109,Mechanical Engineering,Technische Universität Berlin (TU Berlin)
110, Classical Languages and Literature,University of Pennsylvania
110, Environmental History and Regional Studies Concentration,University of Pennsylvania
110, Italian Literature,University of Pennsylvania
110, Religious Studies,University of Pennsylvania
110,South Asia Studies,University of Pennsylvania
111,Arabic Language and Literature,Islamic University of Lebanon
111,Armenian Studies,Haigazian University
111,History,Haigazian University
111,Religious Studies,Saint Joseph University of Beirut
112, Dental Hygiene,University of Michigan-Ann Arbor
112, Public Health Combined Degree ,Northwestern University
112,Public Health,"University of California, Berkeley (UCB)"
113,   Advanced Nursing (Non-Thesis),McGill University
113,Human Nutrition ,University of British Columbia
113,Pathology and Laboratory Medicine ,University of British Columbia
113,Population and Public Health ,University of British Columbia
114,Business and Information Technology,Universitat Autònoma de Barcelona
114,Computer Science,Universidade de Santiago de Compostela
114,Industrial Computing and Robotics,Universitat Politecnica de Valencia
115,Business and Information Technology,Universitat Autònoma de Barcelona
115,Computer Science and Engineering  Informatics Engineering,Universidad Carlos III de Madrid (UC3M)
115,Industrial Computing and Robotics,Universitat Politecnica de Valencia
120,Advertising and Public Relations,Complutense University of Madrid
120,Audiovisual Communications,Universitat Politecnica de Valencia
120,Journalism,Complutense University of Madrid
120,Journalism,Universitat Pompeu Fabra (Barcelona)
120,Journalism,Universitat de Valencia
121,Advertising and Communication ,Haigazian University
121,Journalism,Jinan University
121,Music,Haigazian University
124,Architectural Studies,IE University
124,General Musicology of Traditions,Antoine University
124,Graphic Design,American University of Beirut 
124,Graphic Design,Islamic University of Lebanon
125,Architecture ,University of British Columbia
125,Interior Design,Beirut Arab University
125,Music,University of British Columbia
125,Music: Composition,University of British Columbia
128, Astrophysics,University of Pennsylvania
128,Applied Mathematics and Computing,Universidad Carlos III de Madrid (UC3M)
128,Biochemistry,Universidad Autónoma de Madrid
128,Physiology and Physics,McGill University
129, Geology and Natural Resources,Yale University
129,Mathematics,Saint Joseph University of Beirut
129,Physiology and Physics,McGill University
136,Law,Comillas Pontifical University
136,Law,Universitat Pompeu Fabra (Barcelona)
136,Law ,Universidad Carlos III de Madrid (UC3M)
137,Bachelor of Laws,Universidad Autónoma de Madrid
137,Criminology,Complutense University of Madrid
137,Criminology,Universitat Autònoma de Barcelona
137,Law,Universitat Autònoma de Barcelona
138,Islamology,Saint Joseph University of Beirut
138,Speech and Language Therapy,Saint Joseph University of Beirut
138,Theology,Unversity of Balamand 
138,Translation,Saint Joseph University of Beirut
139,Applied Orthodox Theology,Unversity of Balamand 
139,French Language and Literature,Holy Spirit University of Kaslik
139,Philosophy,Holy Spirit University of Kaslik
139,Theology,Unversity of Balamand 
140, Degree Completion,University of Michigan-Ann Arbor
140, Music Education,Johns Hopkins University
141, Degree Completion,University of Michigan-Ann Arbor
141, Music Education,Johns Hopkins University
142, Biomedical  Engineering,Northwestern University
142,Chemical  Engineering ,"University of California, Berkeley (UCB)"
142,Environmental Science and  Engineering,California Institute of Technology (Caltech)
143,Biological/Bio Engineering,Massachusetts Institute of Technology (MIT)
143,Forest and Environmental Engineering,Universitat Politecnica de Valencia
143,Mechanical Engineering ,"KIT, Karlsruhe Institute of Technology"
143,Special Divisional Majors,Yale University
144,Computer Science,Universität Hamburg
144,Computer Science,Universität Heidelberg
144,Informatics,"KIT, Karlsruhe Institute of Technology"
144,Information Systems Management,Technische Universität Berlin (TU Berlin)
145,Business Informatics,Universität Hamburg
145,Computer Science,Universität Stuttgart
145,Information Systems,"KIT, Karlsruhe Institute of Technology"
145,Information Systems,University of Cologne
146, Cell Biology (Thesis),McGill University
146, Genetic Counselling (Non-Thesis),McGill University
146,Surgery ,University of British Columbia
146,Surgical and Interventional Sciences (Non-Thesis),McGill University
147, Human Genetics (Thesis),McGill University
147,Biochemistry and Molecular Biology ,University of British Columbia
147,Neuroscience (Thesis),McGill University
147,Zoology ,University of British Columbia
148,Behavioral and Health Sciences Methodology,Complutense University of Madrid
148,General Health Psychology,Universidad de Zaragoza
148,Introduction to Research in Mental Health,Complutense University of Madrid
148,Social Psychology,Complutense University of Madrid
149,General Health Psychology,Universidad de Sevilla
149,Legal and Forensic Psychology,Universitat Autònoma de Barcelona
149,Psychogerontology,Universidade de Santiago de Compostela
149,Psychopharmacology and Drugs of Abuse,Complutense University of Madrid
150,Building Construction Management,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
150,Cultural Management,Universitat Politecnica de Valencia
150,Integrated Business Management,Universidad Carlos III de Madrid (UC3M)
151,Business Finance,Complutense University of Madrid
151,Logistics and Supply Chain Management,Universitat Autònoma de Barcelona
151,Wealth and Financial Management,Universitat Ramon Llull
152, Microbiology (Thesis),McGill University
152, Physical Therapy Advanced Standing Option,University of Toronto
152, Physiology (Thesis),McGill University
152,Kinesiology ,University of British Columbia
152,Microbiology and Immunology ,University of British Columbia
153, Population and Health Sciences,University of Michigan-Ann Arbor
153,Biology,Harvard University
153,Biotechnology,Harvard University
153,Prosthetics and Orthotics,Northwestern University
154,Criminology and Public Prevention Policies,Universitat Pompeu Fabra (Barcelona)
154,Psychology,Comillas Pontifical University
154,Psychology,Universitat Ramon Llull
154,Social Work,Comillas Pontifical University
155,Cognitive Science,Massachusetts Institute of Technology (MIT)
155,Psychologie ,Technical University of Darmstadt
155,Social Work,McGill University
156, Indigenous Teacher Education Program,University of British Columbia
157, Degree Completion,University of Michigan-Ann Arbor
157,Education Studies,Universität Heidelberg
157,Educational Science,Universität Hamburg
158, Health and Exercise Sciences ,University of British Columbia
158, Physical Therapy,University of Toronto
158, Physical Therapy (Non-Thesis),McGill University
158, Professional Kinesiology,University of Toronto
159, Health and Exercise Sciences ,University of British Columbia
159, Physical Therapy,University of Toronto
159, Physical Therapy (Non-Thesis),McGill University
159, Professional Kinesiology,University of Toronto
160,Architecture,Technical University of Munich
160,Architecture,Technische Universität Berlin (TU Berlin)
160,Architecture ,Technical University of Darmstadt
161,Cosmetics and Fragrances,Universitat Ramon Llull
161,Multimedia and Visual Arts,Universitat Politecnica de Valencia
161,Science and Technology in Architectural Heritage,University of Granada
161,Theatre Studies,Universitat Pompeu Fabra (Barcelona)
162, Dental Hygiene,University of Michigan-Ann Arbor
162,Medical Sociology (Thesis),McGill University
162,Public Health,"University of California, Berkeley (UCB)"
163, Dental Hygiene,University of Michigan-Ann Arbor
163, Public Health ,Yale University
163, Public Health Combined Degree ,Northwestern University
163, Public Health Occupational and Environmental Medicine Track (Non Yale Fellows),Yale University
164,Computer Engineering,Complutense University of Madrid
164,Computer Engineering,Universidad Autónoma de Madrid
164,Erasmus Mundus Nuclear Fusion and Engineering Physics,Universidad Carlos III de Madrid (UC3M)
164,Neuroengineering and Rehabilitation,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
165,Erasmus Mundus Master of Science in Textile Engineering,Universitat Politecnica de Valencia
165,Industrial Engineering,University of Salamanca
165,Thermal Engineering,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
166,Psychology,Universitat Ramon Llull
166,Psychology,Universität Hamburg
166,Psychology ,Friedrich-Alexander-Universität Erlangen-Nürnberg
167,Psychology,Holy Spirit University of Kaslik
167,Psychology,Islamic University of Lebanon
167,Social Work,Haigazian University
168,Applied Urban Science and Informatics,New York University (NYU)
168,Computer Science,"University of California, Los Angeles (UCLA)"
168,Cybersecurity,New York University (NYU)
169,Computer Science,"University of California, Los Angeles (UCLA)"
169,Cybersecurity Risk and Strategy,New York University (NYU)
169,Information Science,Cornell University
170, Computer Techniques,University of Pennsylvania
170,Computer Science,California Institute of Technology (Caltech)
170,Computer Science,"University of California, Berkeley (UCB)"
170,"Logic, Information, and Computation",University of Pennsylvania
171,Applied Computer Science ,University of Göttingen
171,Computer Science,Albert-Ludwigs-Universitaet Freiburg
171,Computing in Science,Universität Hamburg
172,Chemistry,Universitat Ramon Llull
172,Mathematics,Universitat Autònoma de Barcelona
172,Mathematics,Universitat de Barcelona
173,Chemistry,Universidad de Sevilla
173,Chemistry,University of Pennsylvania
173,Geology,Universitat Autònoma de Barcelona
173,Physics,Universitat Autònoma de Barcelona
174,Egyptology,Universität Heidelberg
174,Historical Musicology,Universität Hamburg
174,Philosophy,University of Cologne
174,Theologica,Saint Joseph University of Beirut
175,Reading/Writing/Literacy ,University of Pennsylvania
176,Marine Technologies,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
176,Nautical Science and Maritime Transport,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
177,Marine Technologies,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
177,Nautical Science and Maritime Transport,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
178,Arabic Language and Literature,Beirut Arab University
178,Arabic Language and Literature,Unversity of Balamand 
178,English Language,Haigazian University
178,English Studies,American University of Science and Technology
178,Philosophy ,Holy Spirit University of Kaslik
179,English Language and Literature,Beirut Arab University
179,English Language and Literature,Holy Spirit University of Kaslik
179,Modern Languages and Translation,Holy Spirit University of Kaslik
179,Religious Studies,Saint Joseph University of Beirut
179,Speech-Language Therapy,Islamic University of Lebanon
180, Higher Education,University of Toronto
180,Curriculum Studies ,University of British Columbia
180,International Educational Development,University of Pennsylvania
180,Social Studies Education ,University of British Columbia
181,Early Childhood Education ,University of British Columbia
181,Education,"University of California, Los Angeles (UCLA)"
181,Education Policy ,University of Pennsylvania
181,Literacy Education ,University of British Columbia
182, Human Resources Management,New York University (NYU)
182,Business and Management  and Management Administration,"University of California, Berkeley (UCB)"
182,Business and Management  and Management and Technology,University of Pennsylvania
182,Health Care Markets and Finance,University of Pennsylvania
182,Organizational Behavior and Change,New York University (NYU)
183,Accounting,Lebanese International University
183,Accounting,Modern University for Business and Science
183,Finance,American University of Science and Technology
183,Hospitality Management emphasis ,Haigazian University
183,Hotel Management,Islamic University of Lebanon
184,Applications and Technologies for Unmanned Aircraft Systems,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
184,Bioinformatics for Health Sciences,Universitat Pompeu Fabra (Barcelona)
184,Intelligent Transport Systems,Universitat Politecnica de Valencia
184,Software Development,University of Granada
184,"Software Engineering, Formal Methods and Information Systems",Universitat Politecnica de Valencia
185,Cloud and High-Performance Computing,Universitat Politecnica de Valencia
