student_id,academic_level,preferred_location,study_mode,intensity,budget_min,budget_max,language,ielts,toefl,sat,broad_categories_interest,detailed_categories_interest
38,undergraduate,Germany,oncampus,full-time,0,2000,Arabic,,108,,"Arts, Design & Architecture","Fine Arts, Visual Arts & Creative Practice"
39,undergraduate,United States,oncampus,full-time,47000,63000,German,5.7,,,Health & Medicine,"Pharmacy, Pharmacology & Pharmaceutical Sciences; Medicine, Dentistry & Clinical Medicine; Allied Health, Physiotherapy & Rehabilitation"
40,undergraduate,Spain,oncampus,full-time,2500,11000,Spanish,6.6,,,Engineering,"Civil, Structural & Construction Engineering"
41,high_school,"Lebanon, Germany",hybrid,part-time,0,6500,English,,94,,Psychology & Behavioral Sciences,Cognitive Science & Behavioral Science
42,undergraduate,United States,oncampus,part-time,32000,83500,English,,,,Computing & Technology,"Computer Science, Software & Information Systems"
43,high_school,"Canada, Germany",oncampus,full-time,0,2000,English,,,,Computing & Technology,"Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
44,high_school,"Spain, United States",hybrid,full-time,1500,16000,Arabic,6.3,,,Natural & Physical Sciences,Chemistry & Chemical Sciences
45,undergraduate,"Canada, Spain",oncampus,full-time,2500,12000,Arabic,5.5,,,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Cultural Studies, Area Studies & Heritage"
46,high_school,"Spain, Canada",hybrid,part-time,2000,10500,Spanish,,98,,"Transport, Aviation & Maritime","Aviation, Aeronautics & Aerospace Transport"
47,high_school,"Lebanon, Canada",hybrid,full-time,5500,20000,English,,,,Humanities & Languages,"Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
48,undergraduate,"Canada, United States",hybrid,part-time,9000,23000,Spanish,5.6,92,,Education,"Educational Leadership, Special Education & Instruction; Education, Teaching & Curriculum Studies"
49,high_school,"United States, Germany",oncampus,part-time,0,37500,Arabic,,,1320,Business & Management,"Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech"
50,undergraduate,Germany,oncampus,full-time,0,2000,Arabic,,,,Computing & Technology,"Computer Engineering, Embedded Systems & Robotics; Computer Science, Software & Information Systems"
51,high_school,Germany,online,full-time,0,2000,English,,86,,Media & Communication,"Film, Digital Media, Advertising & Content Production; Media, Communication, Journalism & Public Relations"
52,high_school,United States,oncampus,part-time,39000,78000,English,,84,,Natural & Physical Sciences,"Physics, Astronomy & Space Science"
53,undergraduate,Canada,oncampus,full-time,11500,38000,English,5.8,,,Law & Governance,"Law, Legal Studies & Justice; Governance, Public Policy & International Law"
54,undergraduate,"United States, Canada",oncampus,part-time,22000,88000,English,,88,,Computing & Technology,"Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
55,undergraduate,"Spain, Canada",oncampus,full-time,2500,8000,English,7.3,,,Life Sciences,"Neuroscience, Microbiology & Life Science Research"
56,undergraduate,"Spain, Lebanon",online,full-time,1500,5500,English,6.5,72,,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
57,undergraduate,United States,online,full-time,28000,89500,English,,114,,Engineering,"Materials, Mechatronics & General Engineering; Mechanical, Manufacturing & Industrial Engineering; Computer Engineering, Embedded Systems & Robotics"
58,high_school,"Canada, Spain",oncampus,full-time,3500,16000,German,6.4,,,Education,"Education, Teaching & Curriculum Studies; Educational Leadership, Special Education & Instruction"
59,high_school,Germany,online,full-time,0,2000,English,5.2,84,1490,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
60,undergraduate,"Lebanon, United States",hybrid,part-time,5500,16500,English,,112,,Health & Medicine,"Public Health, Nutrition & Health Management; Nursing, Midwifery & Patient Care; Medicine, Dentistry & Clinical Medicine"
61,undergraduate,Germany,oncampus,full-time,0,2000,French,,86,,Media & Communication,"Film, Digital Media, Advertising & Content Production; Media, Communication, Journalism & Public Relations"
62,undergraduate,Canada,oncampus,full-time,6000,29500,Spanish,7.6,,,Life Sciences,"Biological Sciences, Genetics & Molecular Biology; Biotechnology, Biomedical Sciences & Bioinformatics"
63,high_school,United States,oncampus,full-time,41000,78500,Arabic,7.2,98,1030,Humanities & Languages,"Cultural Studies, Area Studies & Heritage; Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies"
64,undergraduate,"United States, Spain",oncampus,full-time,1500,12500,English,7.4,96,,Humanities & Languages,"Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage; Languages, Linguistics, Translation & Applied Languages"
65,high_school,Germany,hybrid,full-time,0,2000,English,7.3,,,Media & Communication,"Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
66,undergraduate,Spain,online,full-time,2500,11500,German,5.9,110,,Data Science & Artificial Intelligence,"Business Analytics, Decision Science & Intelligent Systems"
67,undergraduate,"Germany, Canada",oncampus,full-time,0,9500,German,,78,,Life Sciences,"Biotechnology, Biomedical Sciences & Bioinformatics; Biological Sciences, Genetics & Molecular Biology"
68,undergraduate,Lebanon,online,full-time,5000,7000,Spanish,,,,Media & Communication,"Film, Digital Media, Advertising & Content Production"
69,undergraduate,"United States, Spain",oncampus,full-time,2000,9000,French,,,,Hospitality & Tourism,"Hospitality, Tourism, Travel & Hotel Management"
70,undergraduate,Canada,oncampus,full-time,9500,25500,English,6.7,,,Health & Medicine,"Nursing, Midwifery & Patient Care; Medicine, Dentistry & Clinical Medicine"
71,undergraduate,Canada,oncampus,full-time,10000,49500,French,,,,Computing & Technology,"Computer Science, Software & Information Systems; Cybersecurity, Networks & Cloud Computing"
72,high_school,"United States, Lebanon",oncampus,full-time,6000,53500,English,,,,Humanities & Languages,"Literature, History, Philosophy & Religious Studies; Languages, Linguistics, Translation & Applied Languages"
73,undergraduate,United States,oncampus,full-time,46500,56500,English,,84,,Health & Medicine,"Pharmacy, Pharmacology & Pharmaceutical Sciences; Nursing, Midwifery & Patient Care"
74,high_school,Canada,oncampus,full-time,9500,29500,Arabic,7.9,,,Media & Communication,"Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
75,undergraduate,Germany,oncampus,full-time,0,2000,English,,,,Engineering,"Mechanical, Manufacturing & Industrial Engineering; Electrical, Electronic & Communications Engineering"
76,undergraduate,Spain,oncampus,full-time,1000,3500,French,,104,,Natural & Physical Sciences,"Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Mathematics, Statistics & Actuarial Science"
77,high_school,"Lebanon, Germany",hybrid,full-time,0,12500,English,,84,,Health & Medicine,"Nursing, Midwifery & Patient Care; Pharmacy, Pharmacology & Pharmaceutical Sciences; Medicine, Dentistry & Clinical Medicine"
78,undergraduate,Lebanon,oncampus,full-time,5000,11500,English,,,,Humanities & Languages,"Cultural Studies, Area Studies & Heritage; Languages, Linguistics, Translation & Applied Languages"
79,high_school,Germany,oncampus,part-time,0,2000,Arabic,,88,,Life Sciences,"Neuroscience, Microbiology & Life Science Research; Biological Sciences, Genetics & Molecular Biology"
80,undergraduate,Canada,hybrid,full-time,8500,29000,German,7.7,,,Media & Communication,"Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
81,high_school,Lebanon,hybrid,full-time,5000,12500,Arabic,,100,,Engineering,"Chemical, Process & Petroleum Engineering; Mechanical, Manufacturing & Industrial Engineering"
82,undergraduate,"United States, Germany",oncampus,full-time,0,37500,English,6.5,102,,Law & Governance,"Governance, Public Policy & International Law; Law, Legal Studies & Justice"
83,undergraduate,Canada,oncampus,part-time,9500,37500,Arabic,7.1,,,Law & Governance,"Governance, Public Policy & International Law; Law, Legal Studies & Justice"
84,undergraduate,"Canada, United States",online,full-time,9500,48500,German,,,,Health & Medicine,"Medicine, Dentistry & Clinical Medicine"
85,undergraduate,Spain,oncampus,full-time,500,7500,English,6.7,,,Health & Medicine,"Public Health, Nutrition & Health Management"
86,high_school,"United States, Germany",oncampus,full-time,4000,9000,English,4,110,1250,Computing & Technology,"Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
87,high_school,"Germany, Spain",oncampus,full-time,2500,6000,English,4,110,1300,Computing & Technology,"Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
88,undergraduate,Germany,"online, hybrid",full-time,6000,14000,English,5.5,100,1150,Business & Management,"Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech; Marketing, Supply Chain, Logistics & Operations"
89,undergraduate,Germany,oncampus,full-time,4000,10000,English,,,1100,Business & Management,"Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech; Marketing, Supply Chain, Logistics & Operations"
90,high_school,Spain,online,part-time,2000,6000,English,5.5,,,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
91,high_school,Germany,online,part-time,1500,5500,English,5.5,110,,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
92,undergraduate,"USA, Canada",oncampus,full-time,10000,18000,English,,85,1250,Computing & Technology,"Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
93,undergraduate,"USA, Canada",hybrid,full-time,9000,18000,English,,,1300,Computing & Technology,"Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
94,high_school,Spain,oncampus,full-time,3500,7000,English,7,110,1300,Engineering,"Mechanical, Manufacturing & Industrial Engineering; Civil, Structural & Construction Engineering; Electrical, Electronic & Communications Engineering; Chemical, Process & Petroleum Engineering; Materials, Mechatronics & General Engineering"
95,high_school,"United States, Lebanon",oncampus,full-time,3500,8000,English,7.5,85,1150,Engineering,"Mechanical, Manufacturing & Industrial Engineering; Civil, Structural & Construction Engineering; Electrical, Electronic & Communications Engineering; Chemical, Process & Petroleum Engineering; Materials, Mechatronics & General Engineering"
96,undergraduate,"Germany, Spain",online,part-time,2500,5500,English,7.5,83,,Business & Management,"Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech; Marketing, Supply Chain, Logistics & Operations"
97,undergraduate,Lebanon,oncampus,part-time,3500,7000,English,,78,1300,Business & Management,"Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech; Marketing, Supply Chain, Logistics & Operations"
98,high_school,Germany,oncampus,full-time,1500,4500,English,5,75,1450,Natural & Physical Sciences,"Mathematics, Statistics & Actuarial Science; Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Earth Sciences, Geology & Geophysics"
99,high_school,"Canada, United States",oncampus,full-time,2500,6500,English,,70,,Natural & Physical Sciences,"Mathematics, Statistics & Actuarial Science; Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Earth Sciences, Geology & Geophysics"
100,undergraduate,"Lebanon, Canada",hybrid,full-time,6500,15000,English,7,80,1300,Health & Medicine,"Medicine, Dentistry & Clinical Medicine; Nursing, Midwifery & Patient Care; Allied Health, Physiotherapy & Rehabilitation; Pharmacy, Pharmacology & Pharmaceutical Sciences; Public Health, Nutrition & Health Management"
101,undergraduate,"Canada, USA",oncampus,full-time,5000,14000,English,8,,1100,Health & Medicine,"Medicine, Dentistry & Clinical Medicine; Nursing, Midwifery & Patient Care; Allied Health, Physiotherapy & Rehabilitation; Pharmacy, Pharmacology & Pharmaceutical Sciences; Public Health, Nutrition & Health Management"
102,high_school,"USA, Canada",oncampus,full-time,9000,23000,English,6.5,115,,Computing & Technology,"Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
103,high_school,Spain,oncampus,full-time,7000,14500,English,6,,1000,Computing & Technology,"Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
104,undergraduate,Canada,online,part-time,2500,7000,English,6.5,,,Social Sciences,"Economics, Econometrics & Development Studies; Political Science, International Relations & Public Affairs; Sociology, Anthropology & Human Geography"
105,undergraduate,Spain,online,full-time,3500,8000,English,6,105,,Social Sciences,"Economics, Econometrics & Development Studies; Political Science, International Relations & Public Affairs; Sociology, Anthropology & Human Geography"
106,high_school,Lebanon,oncampus,part-time,3000,8000,English,6,,1100,Business & Management,"Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech; Marketing, Supply Chain, Logistics & Operations"
107,high_school,Lebanon,oncampus,full-time,2000,7000,English,5.5,115,1450,Business & Management,"Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech; Marketing, Supply Chain, Logistics & Operations"
108,undergraduate,Germany,hybrid,full-time,8000,14500,English,8,95,,Engineering,"Mechanical, Manufacturing & Industrial Engineering; Civil, Structural & Construction Engineering; Electrical, Electronic & Communications Engineering; Chemical, Process & Petroleum Engineering; Materials, Mechatronics & General Engineering"
109,undergraduate,Germany,hybrid,full-time,6500,12500,English,,100,,Engineering,"Mechanical, Manufacturing & Industrial Engineering; Civil, Structural & Construction Engineering; Electrical, Electronic & Communications Engineering; Chemical, Process & Petroleum Engineering; Materials, Mechatronics & General Engineering"
110,high_school,United States,oncampus,full-time,2000,6000,English,,70,1400,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
111,high_school,Lebanon,oncampus,full-time,2000,7500,English,5.5,70,,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
112,undergraduate,United States,hybrid,full-time,11000,22500,English,7,105,1200,Health & Medicine,"Medicine, Dentistry & Clinical Medicine; Nursing, Midwifery & Patient Care; Allied Health, Physiotherapy & Rehabilitation; Pharmacy, Pharmacology & Pharmaceutical Sciences; Public Health, Nutrition & Health Management"
113,undergraduate,"USA, Canada",oncampus,full-time,11000,22500,English,5,115,,Health & Medicine,"Medicine, Dentistry & Clinical Medicine; Nursing, Midwifery & Patient Care; Allied Health, Physiotherapy & Rehabilitation; Pharmacy, Pharmacology & Pharmaceutical Sciences; Public Health, Nutrition & Health Management"
114,high_school,Spain,online,full-time,2500,5500,English,,,1150,Computing & Technology,"Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
115,high_school,Spain,online,part-time,3500,8500,English,,115,1100,Computing & Technology,"Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
116,high_school,"USA, Canada","oncampus, online",full-time,2500,8000,English,,,1150,"Computing & Technology, Data Science & Artificial Intelligence","Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing; Data Science, Artificial Intelligence & Machine Learning; Business Analytics, Decision Science & Intelligent Systems"
117,high_school,Germany,oncampus,"full-time, part-time",3500,10500,English,7,,1150,"Computing & Technology, Data Science & Artificial Intelligence","Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing; Data Science, Artificial Intelligence & Machine Learning; Business Analytics, Decision Science & Intelligent Systems"
118,undergraduate,"Germany, Canada","hybrid, oncampus",full-time,6000,13500,English,5,,1250,"Engineering, Natural & Physical Sciences","Mechanical, Manufacturing & Industrial Engineering; Civil, Structural & Construction Engineering; Electrical, Electronic & Communications Engineering; Chemical, Process & Petroleum Engineering; Materials, Mechatronics & General Engineering; Mathematics, Statistics & Actuarial Science; Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Earth Sciences, Geology & Geophysics"
119,undergraduate,"Canada, United States","hybrid, oncampus",full-time,5500,15000,English,7,,1250,"Engineering, Natural & Physical Sciences","Mechanical, Manufacturing & Industrial Engineering; Civil, Structural & Construction Engineering; Electrical, Electronic & Communications Engineering; Chemical, Process & Petroleum Engineering; Materials, Mechatronics & General Engineering; Mathematics, Statistics & Actuarial Science; Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Earth Sciences, Geology & Geophysics"
120,high_school,Spain,oncampus,full-time,2000,4000,English,5.5,,,Media & Communication,"Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
121,high_school,Lebanon,oncampus,full-time,2000,4000,English,6,,,Media & Communication,"Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
122,undergraduate,"USA, Canada","oncampus, hybrid",full-time,13000,31500,English,7,75,,"Health & Medicine, Life Sciences","Medicine, Dentistry & Clinical Medicine; Nursing, Midwifery & Patient Care; Allied Health, Physiotherapy & Rehabilitation; Pharmacy, Pharmacology & Pharmaceutical Sciences; Public Health, Nutrition & Health Management; Biological Sciences, Genetics & Molecular Biology; Biotechnology, Biomedical Sciences & Bioinformatics; Neuroscience, Microbiology & Life Science Research"
123,undergraduate,"USA, Canada","oncampus, hybrid",full-time,11000,21000,English,7,75,,"Health & Medicine, Life Sciences","Medicine, Dentistry & Clinical Medicine; Nursing, Midwifery & Patient Care; Allied Health, Physiotherapy & Rehabilitation; Pharmacy, Pharmacology & Pharmaceutical Sciences; Public Health, Nutrition & Health Management; Biological Sciences, Genetics & Molecular Biology; Biotechnology, Biomedical Sciences & Bioinformatics; Neuroscience, Microbiology & Life Science Research"
124,high_school,"USA, Canada",oncampus,full-time,2000,7500,English,5.5,82,900,"Arts, Design & Architecture",
125,high_school,Canada,hybrid,full-time,1500,6000,English,5.5,82,980,"Arts, Design & Architecture",
126,undergraduate,"Germany, Spain",online,part-time,2500,7500,English,7,85,1200,"Business & Management, Social Sciences","Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech; Marketing, Supply Chain, Logistics & Operations; Economics, Econometrics & Development Studies; Political Science, International Relations & Public Affairs; Sociology, Anthropology & Human Geography"
127,undergraduate,"Spain, Lebanon",oncampus,part-time,4000,12500,English,6.5,85,1250,"Business & Management, Social Sciences","Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech; Marketing, Supply Chain, Logistics & Operations; Economics, Econometrics & Development Studies; Political Science, International Relations & Public Affairs; Sociology, Anthropology & Human Geography"
128,high_school,USA,oncampus,part-time,20000,60000,English,7.5,100,1400,Natural & Physical Sciences,"Mathematics, Statistics & Actuarial Science; Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Earth Sciences, Geology & Geophysics"
129,high_school,USA,oncampus,full-time,20000,60000,English,7.5,100,1450,Natural & Physical Sciences,"Mathematics, Statistics & Actuarial Science; Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Earth Sciences, Geology & Geophysics"
130,undergraduate,Germany,"oncampus, online",part-time,11000,42500,English,,,1450,"Media & Communication, Arts, Design & Architecture","Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
131,undergraduate,Canada,"oncampus, online",part-time,12500,48000,English,4.5,110,,"Media & Communication, Arts, Design & Architecture","Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
132,high_school,Germany,oncampus,full-time,1500,10000,English,,75,,"Environment & Agriculture, Natural & Physical Sciences","Environmental Science, Sustainability & Ecology; Agriculture, Forestry, Food Science & Natural Resources; Mathematics, Statistics & Actuarial Science; Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Earth Sciences, Geology & Geophysics"
133,high_school,"Germany, Canada",oncampus,full-time,1500,10000,English,,85,,"Environment & Agriculture, Natural & Physical Sciences","Environmental Science, Sustainability & Ecology; Agriculture, Forestry, Food Science & Natural Resources; Mathematics, Statistics & Actuarial Science; Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Earth Sciences, Geology & Geophysics"
