student_id,program_name,uni_name,rating,is_relevant
3,Electrical Engineering,McGill University,2,0
3,English Language and Literature,Universidade de Santiago de Compostela,4,1
3,History Languages and Cultures of the Near East on Islamic Studies,Universität Hamburg,2,0
3,Italian Studies,University of Salamanca,5,1
3,Linguistics and Applied Languages,Complutense University of Madrid,5,1
3,Mechanical Engineering,Unversity of Balamand ,2,0
3,Medieval European Identity,Universitat Autònoma de Barcelona,4,1
3,Modern Language and Literature,Universitat de Barcelona,3,1
3,"Science, Technology and Humanities",Universidad Carlos III de Madrid (UC3M),2,0
3,Theology,Comillas Pontifical University,5,1
4, French Language and Literature ,Unversity of Balamand ,1,0
4,Anthropology,Universität Heidelberg,2,0
4,Bioethics,University of Toronto,1,0
4,Business Administration,Unversity of Balamand ,2,0
4,Computer Science,University of British Columbia,3,1
4,Computer Science (Non-Thesis),McGill University,4,1
4,Computer Science (Thesis),McGill University,3,1
4,Economic and Sociological Studies,Universität Hamburg,1,0
4,Health Informatics,University of Toronto,2,0
4,Health Informatics,University of Toronto,4,1
4,Innovation and Research in Informatics,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),2,0
4,Integrated Studies in Land and Food Systems ,University of British Columbia,5,1
4,Management Information Systems,University of British Columbia,2,0
4,Management Information Systems,University of British Columbia,4,1
4,Mechatronics,Universität Stuttgart,2,0
4,Psychoanalysis and Theory of Culture,Complutense University of Madrid,2,0
4,Social Work ,University of British Columbia,1,0
4,Software  Engineering,Harvard University,5,1
4,Software Development,University of Granada,2,0
5, Biological Basis of Behavior,University of Pennsylvania,2,0
5, Latin American Studies,Yale University,3,0
5,Agricultural and Food Engineering,Universidade de Santiago de Compostela,3,0
5,Bioinformatics,Universitat Autònoma de Barcelona,3,0
5,Building,Universidad Autónoma de Madrid,4,1
5,Chemical Engineering,Universitat Politecnica de Valencia,4,1
5,Chemical Engineering,Universitat de Barcelona,5,1
5,Computer Engineering,Universitat Ramon Llull,4,1
5,Computer Engineering,Universitat de Valencia,5,1
5,Electronic Engineering and Telecommunications,Universitat de Barcelona,3,1
5,Energy Studies,American University of Beirut,2,0
5,French,Johns Hopkins University,2,0
5,Graphic Design,American University of Beirut ,1,0
5,Modeling for Science and Engineering,Universitat Autònoma de Barcelona,5,1
5,Nanoscience and Nanotechnology,Universitat Autònoma de Barcelona,5,1
5,Petroleum Engineering,Unversity of Balamand,1,0
5,Photonics,Universitat Autònoma de Barcelona,4,1
5,Political Science,"University of California, Los Angeles (UCLA)",2,0
5,Robotics Engineering,Universidad Carlos III de Madrid (UC3M),3,1
5,Software Engineering,Complutense University of Madrid,4,1
5,Sound and Image Engineering,Universidad Carlos III de Madrid (UC3M),5,1
6, Computational Analysis and Public Policy,University of Chicago,1,0
6,Accounting,American University of Science and Technology,4,1
6,Applied Animal Biology ,University of British Columbia,3,0
6,Business Management,American University of Science and Technology,5,1
6,Business and Management  and Management and Technology Management,New York University (NYU),2,0
6,Ethics and Democracy,Universitat de Valencia,2,0
6,Exercise and Sports Science,Universität Hamburg,3,0
6,Finance,American University of Science and Technology,4,1
6,Finance,Jinan University,5,1
6,Financial Engineering,American University of Science and Technology,5,1
6,General Business and Management  Administration,Rafik Hariri  University,4,1
6,General Management,Antoine University,5,1
6,Hospitality Management,American University of Science and Technology,4,1
6,Hotel Management,Islamic University of Lebanon,4,1
6,Investment Management,McGill University,1,0
6,Leadership And Human Resources Management,Saint Joseph University of Beirut,5,1
6,Management,Jinan University,4,1
6,Mathematical Finance,University of Toronto,2,0
6,Music and Health Sciences,University of Toronto,1,0
6,Optometry and Vision,Complutense University of Madrid,3,1
6,Project Management,Jinan University,4,1
6,"Public Law, Private Law and Business Law",Saint Joseph University of Beirut,1,0
7, Molecular Biology,Princeton University,3,0
7,Arabic Language and Literature,Holy Spirit University of Kaslik,3,0
7,Biochemistry,Eberhard Karls Universität Tübingen,5,1
7,Biochemistry,Freie Universitaet Berlin,5,1
7,Biostatistics,University of Toronto,2,0
7,Chemistry,Technische Universität Berlin (TU Berlin),5,1
7,Chemistry,Technische Universität Dresden,4,1
7,Chemistry,Universität Heidelberg,5,1
7,Chemistry ,Friedrich-Alexander-Universität Erlangen-Nürnberg,4,1
7,Computer Engineering,McGill University,2,0
7,Engineering Physics,Cornell University,1,0
7,Food Chemistry,"KIT, Karlsruhe Institute of Technology",4,1
7,Food Chemistry,Technical University of Munich,5,1
7,Geomaterials and Geochemistry,Ludwig-Maximilians-Universität München,5,1
7,Geophysics,Ludwig-Maximilians-Universität München,4,1
7,History,Northwestern University,1,0
7,Mathematical Engineering in Data Science,Universitat Pompeu Fabra (Barcelona),2,0
7,Mathematics,Freie Universitaet Berlin,4,1
7,Meteorology,Ludwig-Maximilians-Universität München,5,1
7,Music: Scholarship,University of British Columbia,1,0
7,Physical Therapy,Islamic University of Lebanon,2,0
7,Social Work ,Saint Joseph University of Beirut,2,0
7,Theoretical and Mathematical Physics,Ludwig-Maximilians-Universität München,3,1
8,  Nursing (Non-Thesis),McGill University,5,1
8, Dental Sciences (Thesis),McGill University,5,1
8, Occupational Therapy (MScOT),University of Toronto,4,1
8,Biological and Biomedical Engineering (Non-Thesis) ,McGill University,5,1
8,Biological and Biomedical Engineering (Thesis),McGill University,4,1
8,Business  Analytics program in the MENA region,American University of Beirut ,2,0
8,Construction Management,New York University (NYU),3,0
8,Epidemiology (Thesis),McGill University,4,1
8,Experimental Medicine,University of British Columbia,4,1
8,Experimental Medicine (Thesis),McGill University,3,1
8,Family Medicine (Thesis),McGill University,3,1
8,"High Energy Physics, Astrophysics and Cosmology",Universitat Autònoma de Barcelona,1,0
8,Human Nutrition (Thesis),McGill University,4,1
8,Industrial and Labor Relations,Cornell University,2,0
8,"Legal, Commercial, Tax and Labor Consulting",Universidad de Sevilla,3,0
8,Licentiate Sacred Theology,Comillas Pontifical University,1,0
8,Medical Radiation Physics (Thesis),McGill University,5,1
8,Medicine,Universitat Pompeu Fabra (Barcelona),2,0
8,Nanophysics and Advanced Materials,Complutense University of Madrid,2,0
8,Occupational Risk Prevention,Complutense University of Madrid,2,0
8,Physical Therapy Advanced Standing Option,University of Toronto,4,1
8,Technology of Education,Holy Spirit University of Kaslik,2,0
9,Business Analytics,Comillas Pontifical University,1,0
9,Christian Education,Haigazian University,2,0
9,Computer Science,Rafik Hariri  University ,5,1
9,Computer Science,Universidade de Santiago de Compostela,5,1
9,Computer Science,University of British Columbia,5,1
9,Computer Science,Universität Heidelberg,4,1
9,Computer Science (BSc) (Okanagan Campus),University of British Columbia,5,1
9,Computer Science (Non-Thesis),McGill University,5,1
9,Computer Science (Thesis),McGill University,3,1
9,Computer Science and Engineering,Universidad Carlos III de Madrid,4,1
9,Computer Science and Psychology,Yale University,5,1
9,Cybersecurity,Comillas Pontifical University,2,0
9,Doctoral program in Computing,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),1,0
9,Health Informatics,University of Toronto,3,1
9,Health Policy,Johns Hopkins University,1,0
9,Management Information Systems,University of British Columbia,5,1
9,Pharmacy,University of Granada,2,0
9,Software  Engineering,Harvard University,2,0
9,Videogame Design and Virtual Environments,IE University,3,0
9,Voice,McGill University,1,0
10," Orchestral Instruments, Guitar (Thesis)",McGill University,2,0
10, Public Health Occupational and Environmental Medicine Track (Non Yale Fellows),Yale University,1,0
10,Anthropology,Universitat Autònoma de Barcelona,5,1
10,Anthropology (Thesis): Development Studies,McGill University,1,0
10,Applied Research in Economics and Business,Universitat Autònoma de Barcelona,5,1
10,Business Administration,Holy Spirit University of Kaslik,3,0
10,"Contemporary History, Politics and Economics",Universitat Autònoma de Barcelona,4,1
10,Cooperation to the Development,Universitat Politecnica de Valencia,5,1
10,Economic Analysis,Universidad Carlos III de Madrid,4,1
10,Economics,California Institute of Technology (Caltech),1,0
10,Economics,Universitat Autònoma de Barcelona,4,1
10,Economics,Universitat de Barcelona,5,1
10,Electrical Engineering,Universität Stuttgart,2,0
10,Food Technology,Technical University of Munich,2,0
10,History and Anthropology of America,Complutense University of Madrid,4,1
10,International Politics,Complutense University of Madrid,5,1
10,Nursing Sciences,Antoine University,3,1
10,Permanent Training in Foreign Trade,Universidad Carlos III de Madrid (UC3M),2,0
10,"Philosophy, Politics and Economics",Universitat Autònoma de Barcelona,5,1
10,Political Analysis,Complutense University of Madrid,4,1
10,Special Education,Saint Joseph University of Beirut,2,0
11,Accounting,American University of Science and Technology,5,1
11,Accounting,American University of Science and Technology,4,1
11,Banking and Finance,Islamic University of Lebanon,4,1
11,Banking and Finance,Notre Dame University,1,0
11,Business Administration,Islamic University of Lebanon,5,1
11,Business Administration and Management,Saint Joseph University of Beirut,4,1
11,Business Management,Lebanese International University,3,1
11,Comparing African Languages and Cultures,Universität Hamburg,1,0
11,Economics,Unversity of Balamand ,2,0
11,Finance,American University of Science and Technology,4,1
11,Financial Engineering,American University of Science and Technology,4,1
11,History,Johns Hopkins University,2,0
11,Human Resources Management,American University of Science and Technology,5,1
11,Kindergarten and Elementary Education,McGill University,2,0
11,Management,Beirut Arab University,4,1
11,Managing for Sustainability,McGill University,1,0
11,Physical Education and Sport,Notre Dame University ,3,0
11,Sport and Exercise Science,Universitat Ramon Llull,3,0
11,Technological Entrepreneurship,McGill University,2,0
11,Telecommunication Technologies Engineering,Universidad Carlos III de Madrid (UC3M),1,0
12,Account Auditing and Accounting,Universitat Autònoma de Barcelona,2,0
12,Arabic Language and Literature,Saint Joseph University of Beirut,2,0
12,Bioengineering,"KIT, Karlsruhe Institute of Technology",5,1
12,Business Strategy,Universitat de Valencia,2,0
12,Chemical Engineering,Technical University of Munich,5,1
12,Chemical Engineering,Technical University of Munich,3,1
12,Chemical and Biological Engineering,Friedrich-Alexander-Universität Erlangen-Nürnberg,3,1
12,Chemical and Biomolecular  Engineering,New York University (NYU),1,0
12,Computer Engineering,Universität Heidelberg,5,1
12,Conservation Biology,Complutense University of Madrid,2,0
12,Contemporary Latin American Studies,Complutense University of Madrid,2,0
12,General Health Psychology,Comillas Pontifical University,3,1
12,Industrial Engineering,Comillas Pontifical University,2,0
12,Interuniversity Research of Law of Culture,Universidad Carlos III de Madrid (UC3M),3,0
12,Materials Science,Ludwig-Maximilians-Universität München,4,1
12,Materials Science,Ludwig-Maximilians-Universität München,5,1
12,Matter to Life,Universität Heidelberg,4,1
12,Matter to Life,Universität Heidelberg,5,1
12,Mechanical Engineering,Technical University of Munich,5,1
12,Mechanical engineering,Friedrich-Alexander-Universität Erlangen-Nürnberg,3,1
12,Mechatronics and Biomechanical Engineering,Technical University of Munich,5,1
12,Music Education,University of Toronto,3,0
12,Software Engineering,Ludwig-Maximilians-Universität München,4,1
13," Human Biology, Health and Society",Cornell University,2,0
13,Animal Production,McGill University,2,0
13,Arabic Language and Literature,Beirut Arab University,4,1
13,Arabic Language and Literature,Holy Spirit University of Kaslik,5,1
13,Arabic Language and Literature,Saint Joseph University of Beirut,4,1
13,Biology,Universitat de Valencia,1,0
13,Business Administration and Economics,Technische Universität Dresden,1,0
13,Chemical Engineering,Universidad Autónoma de Madrid,2,0
13,Creative Writing & Literature,Harvard University,2,0
13,French Language and Literature,Beirut Arab University,5,1
13,International Relations,Complutense University of Madrid,3,1
13,Islamic studies,American University of Beirut,5,1
13,Laws,Universidad de Sevilla,3,1
13,Linguistics,University of Toronto,1,0
13,Religious Studies,Saint Joseph University of Beirut,4,1
13,Social and Cultural Anthropology,Complutense University of Madrid,2,0
13,Theological Sciences and Pastoral Studies ,Antoine University,5,1
13,Theology,Holy Spirit University of Kaslik,5,1
13,Translation,Saint Joseph University of Beirut,5,1
13,Translation,Saint Joseph University of Beirut,4,1
13,Translation and Language,Jinan University,4,1
14,   Advanced Nursing (Non-Thesis),McGill University,4,1
14,  Nursing (Non-Thesis),McGill University,5,1
14, Aerospace  Engineering,Cornell University,3,0
14,Applied Physics,Columbia University,1,0
14,Archaeological Research,Complutense University of Madrid,2,0
14,Bio Engineering & Nanotechnology,Harvard University,4,1
14,Biological and Biomedical Engineering (Thesis),McGill University,3,1
14,Biomedical Engineering,Holy Spirit University of Kaslik,2,0
14,Economics and Finance,Eberhard Karls Universität Tübingen,2,0
14,English Linguistics,Complutense University of Madrid,1,0
14,Epidemiology (Thesis),McGill University,5,1
14,Family Medicine (Thesis),McGill University,5,1
14,Family and Community Medicine,University of Toronto,3,1
14,Human Nutrition (Thesis),McGill University,4,1
14,Human Nutrition and Dietetics,Complutense University of Madrid,2,0
14,Journalism and Digital Content Innovation,Universitat Autònoma de Barcelona,1,0
14,Medical Sociology (Thesis),McGill University,3,1
14,Occupational Risk Prevention,Universitat Politecnica de Valencia,2,0
14,Pathology and Laboratory Medicine ,University of British Columbia,5,1
14,Public Health,"University of California, Berkeley",5,1
14,Public Health ,University of British Columbia,5,1
14,Spanish and Latin American Music,Complutense University of Madrid,2,0
15,Business and Information Technology,Universitat Autònoma de Barcelona,5,1
15,Business and Information Technology,Universitat Autònoma de Barcelona,4,1
15,Computer Engineering,Complutense University of Madrid,4,1
15,Computer Engineering,Universitat de Barcelona,4,1
15,Computer Science,Goethe-University Frankfurt am Main,2,0
15,Computer Science,Universidade de Santiago de Compostela,5,1
15,Formal Methods in Computer Engineering,Complutense University of Madrid,4,1
15,German Language and Literature,Universität Hamburg,1,0
15,Industrial Computing and Robotics,Universitat Politecnica de Valencia,4,1
15,Information Systems,Universität Stuttgart,1,0
15,Nursing  International Nursing Program,University of Navarra,2,0
15,Petroleum Engineering,Pheonicia University ,2,0
15,Physiotherapy,Saint Joseph University of Beirut,2,0
15,Public Health,Pheonicia University ,2,0
15,Sciences,Universidad Carlos III de Madrid (UC3M),3,0
15,Software Engineering,Complutense University of Madrid,5,1
16,Advertising,Lebanese International University,2,0
16,Automation and Industrial Electronic Engineering and Mechanical Engineering,Universitat Autònoma de Barcelona,2,0
16,Business and Information Technology,Universitat Autònoma de Barcelona,5,1
16,Chemical Biology,"KIT, Karlsruhe Institute of Technology",3,0
16,Computer Science,American University of Science and Technology,4,1
16,European Literature and Culture,McGill University,2,0
16,Global Food Security,McGill University,2,0
16,Information Systems,University of Cologne,1,0
16,Information Technology,Notre Dame University ,2,0
16,Mathematics,Technical University of Darmstadt,2,0
16,Nursing,McGill University,1,0
16,Security Engineering,Universidad Carlos III de Madrid,4,1
16,Theatre: Acting,University of British Columbia,3,1
17, Public Health Policy Track,Yale University,2,0
17,Chemical and Biological  Engineering,University of British Columbia,4,1
17,Civil Engineering (Non-Thesis),McGill University,5,1
17,Data Science,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),2,0
17,Electric Power Systems and Drives,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),1,0
17,Erasmus Mundus Advanced Materials Science and Engineering,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),2,0
17,Higher Education,University of British Columbia,2,0
17,Linguistics,Cornell University,2,0
17,Preservation of Architectural Heritage,Universitat Politecnica de Valencia,3,1
17,Research in Translational Medicine,Complutense University of Madrid,3,1
17,Statistics,University of Toronto,4,1
18, Drama and Theatre,McGill University,3,1
18, Jazz,McGill University,2,0
18,Advertising,Antoine University,4,1
18,Advertising and Communication,Haigazian University,4,1
18,Biology ,Friedrich-Alexander-Universität Erlangen-Nürnberg,2,0
18,Education program Early Childhood,Beirut Arab University,1,0
18,History,Princeton University,2,0
18,International Relations  Geopolitics and Diplomacy,University of Navarra,2,0
18,Journalism,Jinan University,5,1
18,Journalism,Jinan University,4,1
18,Multimedia Studies,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),2,0
18,Music,Haigazian University,3,1
18,Portuguese,Johns Hopkins University,3,0
18,Public Relations,Lebanese International University,5,1
18,Radio & TV,Lebanese International University,3,1
18,Rأ©alisation Cinأ©ma,Unversity of Balamand,4,1
18,Telecommunication Technologies and Services Engineering,Universitat Politecnica de Valencia,1,0
18,media studies,American University of Beirut,3,1
18,radio and television,Jinan University,5,1
19,Addictions and Mental Health,University of Toronto,1,0
19,Applied Animal Biology,University of British Columbia,4,1
19,Biochemistry,Universität Heidelberg,1,0
19,Chemistry,"KIT, Karlsruhe Institute of Technology",2,0
19,Cytogenetics and Reproductive Biology,Universitat Autònoma de Barcelona,2,0
19,Economic and Sociological Studies,Universität Hamburg,2,0
19,Family and Community Medicine,University of Toronto,4,1
19,Finance,IE University,1,0
19,Geophysics and Meteorology,University of Granada,3,0
19,Public Health,"University of California, Berkeley",5,1
19,Public Policy and International Affairs,American University of Beirut,2,0
19,Religious Studies,Universität Heidelberg,2,0
20,Biology ,Jinan University,2,0
20,Composition,University of Toronto,2,0
20,Conservation and Restoration of Cultural Heritage,Universitat Politecnica de Valencia,3,1
20,Dental Hygiene,University of British Columbia,2,0
20,Design,Universitat de Barcelona,4,1
20,Design and Creative Technologies,Universitat Politecnica de Valencia,4,1
20,English Language and Literature,Unversity of Balamand ,3,0
20,Fine Arts,Universitat Politecnica de Valencia,3,1
20,Fine Arts,Universitat de Barcelona,4,1
20,Food Chemistry,Universität Hamburg,2,0
20,Industrial Design Engineering and Product Development,Universitat Politecnica de Valencia,5,1
20,Islamic and Middle Eastern Studies,Universität Heidelberg,2,0
20,Musicology,Complutense University of Madrid,3,1
20,Musicology,Universitat Autònoma de Barcelona,5,1
20,Political Science ,Jinan University,2,0
20,Public Relations,Lebanese International University,3,0
20,Sociology,Universität Heidelberg,2,0
20,Visual Art (BFA) (Vancouver Campus),University of British Columbia,1,0
20,the Fundamentals of Architecture,Universitat Politecnica de Valencia,4,1
21, Biological and Biomedical Engineering (Thesis),McGill University,1,0
21, Dental Hygiene,University of Michigan-Ann Arbor,3,0
21, Second Language Education (Thesis),McGill University,2,0
21,Analysis and Management of the Artistic Heritage,Universitat Autònoma de Barcelona,2,0
21,Architecture,Unversity of Balamand ,1,0
21,Computing in Education,American University of Beirut ,2,0
21,Geological Sciences,Cornell University,2,0
21,History and Anthropology of America,Complutense University of Madrid,4,1
21,Management Analytics,University of British Columbia,1,0
21,Management Engineering,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),5,1
21,Professional Writing,New York University (NYU),1,0
21,Prosthodontics and Esthetic Dentistry,Beirut Arab University,2,0
21,Telecommunications Engineering,Universidad Carlos III de Madrid (UC3M),2,0
22,Advertising,Lebanese International University,3,1
22,Applied Physics,New York University,4,1
22,Astronomy,Yale University,4,1
22,Biophysics,University of Pennsylvania,5,1
22,Chemistry,Freie Universitaet Berlin,4,1
22,Chemistry,Universitat Ramon Llull,4,1
22,Chemistry and Biochemistry,Complutense University of Madrid,5,1
22,Data Science,University of British Columbia,3,0
22,English Language and Literature,Beirut Arab University,3,0
22,European Art History,Universität Heidelberg,1,0
22,Geosciences for the Energy Transition,Universitat de Barcelona,1,0
22,International Economics,University of British Columbia,2,0
22,Linguistics,University of British Columbia,3,0
22,Mathematics,"KIT, Karlsruhe Institute of Technology",5,1
22,Mathematics,Massachusetts Institute of Technology,5,1
22,Mathematics (Bachelor of Arts and Science),McGill University,3,1
22,Mining Engineering,McGill University,1,0
22,Organic Chemistry,Complutense University of Madrid,2,0
22,Telecommunication Technologies and Services Engineering,Universitat Politecnica de Valencia,3,0
23,Cinema Studies,University of Toronto,4,1
23,Cinema and Media Studies,University of British Columbia,4,1
23,Civil  Engineering,Columbia University,1,0
23,Digital Design and Fabrication,Beirut Arab University,3,0
23,Endodontology,Beirut Arab University,3,0
23,Finance,IE University,1,0
23,Management Engineering,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),2,0
23,"Media, Communication and Journalism Sciences & Disorders (Non-Thesis)",McGill University,5,1
23,Physics ,University of Göttingen,1,0
23,Social Studies for Elementary School,Modern University for Business and Science,1,0
23,Sociocultural Analysis of Knowledge and Communication,Complutense University of Madrid,1,0
23,Space and Aeronautical Engineering,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),1,0
23,Translation & Interpreting,New York University (NYU),3,0
24,Biochemistry,University of Navarra,2,0
24,Chemistry,Universität Heidelberg,5,1
24,Dentistry,University of Granada,1,0
24,Early Childhood Education and Primary Education,Universitat Autònoma de Barcelona,3,0
24,Earth and Ocean Sciences,University of British Columbia,3,0
24,Food Chemistry,"KIT, Karlsruhe Institute of Technology",4,1
24,Food Science,McGill University,1,0
24,Journalism,Lebanese International University,3,0
24,Materials Science and  Engineering,Northwestern University,3,0
24,Mathematics,Freie Universitaet Berlin,4,1
24,Science in Computer and Communication Engineering,Rafik Hariri  University ,2,0
24,Spanish and Ibero-American Thought,Complutense University of Madrid,2,0
24,Statistics and Computer Science,McGill University,2,0
25,  Family and Community Medicine,University of Toronto,1,0
25, Public Health in Biostatistics,Yale University,2,0
25,Advanced Studies in Catalan Language and Literature,Universitat Autònoma de Barcelona,4,1
25,Advanced Studies in History of Spanish Art,Complutense University of Madrid,4,1
25,Geoarchaeology,Universität Heidelberg,2,0
25,Global Professional ,University of Toronto,3,0
25,History of Art,University of Toronto,3,0
25,Ignatian Spirituality,Comillas Pontifical University,3,1
25,International Business and Sustainability,Universität Hamburg,2,0
25,Mining Engineering,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),1,0
25,Pre-Medical,Unversity of Balamand,1,0
26,Business Administration,Haigazian University,1,0
26,Chemistry,Yale University,2,0
26,Comparing African Languages and Cultures,Universität Hamburg,3,0
26,"Conservation, Restoration of Cultural Property and Sacred Art",Holy Spirit University of Kaslik,1,0
26,Criminology,Complutense University of Madrid,4,1
26,Criminology,Universitat Autònoma de Barcelona,5,1
26,Criminology,University of Pennsylvania,2,0
26,Criminology and Criminal Justice System,Universitat Autònoma de Barcelona,4,1
26,Electrical  Engineering with Computing,Massachusetts Institute of Technology (MIT),3,0
26,Electrical Engineering,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),1,0
26,Enterprise Law,Universitat Autònoma de Barcelona,5,1
26,Finno Ugric Studies,Universität Hamburg,1,0
26,Law,Universitat Autònoma de Barcelona,4,1
26,Law,Universitat Pompeu Fabra (Barcelona),4,1
26,Law,University of Granada,4,1
26,Law and Labour Relations,Universitat Autònoma de Barcelona,5,1
26,Laws,Universidad de Sevilla,4,1
26,Laws,University of Chicago,1,0
27, Management Studies in Systemic Risk,Yale University,1,0
27,Arabic Language,Jinan University,4,1
27,Arabic Language and Literature,Beirut Arab University,3,0
27,Creative Writing,University of British Columbia,1,0
27,French Language and Literature,Islamic University of Lebanon,4,1
27,French Literature,Saint Joseph University of Beirut,4,1
27,Information Systems,Universität Stuttgart,3,0
27,Islamic studies,American University of Beirut,3,1
27,Islamology,Saint Joseph University of Beirut,5,1
27,"Libraries, Archives and Digital Continuity",Universidad Carlos III de Madrid (UC3M),2,0
27,Philosophy,Saint Joseph University of Beirut,5,1
27,Principles of Health and Disease,Ludwig-Maximilians-Universität München,3,0
27,Religious Sciences,Holy Spirit University of Kaslik,5,1
27,Religious Studies,Saint Joseph University of Beirut,4,1
27,Religious Studies,University of Pennsylvania,1,0
27,Theology,Holy Spirit University of Kaslik,5,1
27,"Transportation, Land and Urban Development",Universitat Politecnica de Valencia,2,0
27,Vocal Studies,University of Toronto,2,0
28, Degree Completion,University of Michigan-Ann Arbor,3,1
28, Music Education,Johns Hopkins University,4,1
28,Biology,University of British Columbia,3,1
28,Chemistry,Saint Joseph University of Beirut,2,0
28,Computer Science,Universität Hamburg,2,0
28,Dietetics,McGill University,2,0
28,Education,Notre Dame University,2,0
28,Education Policy,University of Pennsylvania,3,1
28,"Education, Culture, and Society",University of Pennsylvania,5,1
28,Higher Education,University of Pennsylvania,5,1
28,International Educational Development,University of Pennsylvania,4,1
28,Marketing and Management,Antoine University,3,0
28,Mathematics ,Technical University of Darmstadt,3,0
28,"Measurement, Evaluation and Research Methodology",University of British Columbia,2,0
28,Nanotechnology,McGill University,3,1
28,Plant Biology,McGill University,2,0
29, Mathematics,McGill University,3,0
29,Automotive Engineering,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),1,0
29,Bachelor of Laws,Universidad Autónoma de Madrid,2,0
29,Business Administration and Management,University of Granada,1,0
29,Civil Engineering,"KIT, Karlsruhe Institute of Technology",4,1
29,Civil Engineering ,Islamic University of Lebanon,4,1
29,Civil and Construction,Unversity of Balamand ,4,1
29,Civil and Environmental  Engineering,Carnegie Mellon University,1,0
29,Computer Engineering,Lebanese International University,3,0
29,Computer Science,Yale University,3,0
29,Economics and Finance,McGill University,2,0
29,Industrial Engineering,Friedrich-Alexander-Universität Erlangen-Nürnberg,5,1
29,Industrial Engineering,Lebanese International University,5,1
29,Law,Comillas Pontifical University,1,0
29,Materials Science,Ludwig-Maximilians-Universität München,5,1
29,Matter to Life,Universität Heidelberg,5,1
29,Mechanical Engineering,Beirut Arab University,5,1
29,Mechatronics and Information Technology,"KIT, Karlsruhe Institute of Technology",4,1
29,Nursing,Universitat Ramon Llull,2,0
29,Probability and Statistics,McGill University,2,0
30, Near Eastern Languages and Civilizations - Hebrew and Judaica,University of Pennsylvania,2,0
30,Bioinformatics,Freie Universitaet Berlin,5,1
